RID,Reaction Link,Records,Reactants,Products,Reactants_List,Products_List,Reactants_SIDs_List,Products_SIDs_List,Products_Available,Status_50,Status_75,Status_100,ReactionOrder,ActivationEnergy,ReactantCID,ProductCID,FeatureVector
1927,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=60528769&r2=0&r3=0&r4=0&p0=2597446&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,1,OÂ· + Â·CH2,HCO + HÂ·,"['O·', '·CH2']","['HCO', 'H·']","[9109, 10972]","[8152, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 123164]","[123370, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.]"
1928,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=60528769&r2=0&r3=0&r4=0&p0=630080&p1=12385136&p2=12385136&p3=0&p4=0&expandResults=true&,5,OÂ· + Â·CH2,CO + HÂ· + HÂ·,"['O·', '·CH2']","['CO', 'H·', 'H·']","[9109, 10972]","[6775, 8457, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 123164]","[281, 5362549, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -2.  1.  0.  1.  0.  0.]"
1929,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=60528769&r2=0&r3=0&r4=0&p0=630080&p1=1333740&p2=0&p3=0&p4=0&expandResults=true&,1,OÂ· + Â·CH2,CO + H2,"['O·', '·CH2']","['CO', 'H2']","[9109, 10972]","[6775, 7937]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 123164]","[281, 783]","[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
1953,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=22400266&r2=0&r3=0&r4=0&p0=630080&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,7,OÂ· + NCO,CO + NO,"['O·', 'NCO']","['CO', 'NO']","[9109, 8743]","[6775, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[159832, 140912]","[281, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
1954,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=22400266&r2=0&r3=0&r4=0&p0=57125&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,1,OÂ· + NCO,CN + O2,"['O·', 'NCO']","['CN', 'O2']","[9109, 8743]","[6759, 8924]",TRUE,TRUE,TRUE,TRUE,2,29100,"[159832, 140912]","[5975, 977]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.]"
1965,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=17778880&r2=0&r3=0&r4=0&p0=10102439&p1=0&p2=0&p3=0&p4=0&expandResults=true&,9,OÂ· + N,NO,"['O·', 'N']",['NO'],"[9109, 8651]",[8814],TRUE,TRUE,TRUE,TRUE,3,-1290.4,"[159832, 57370662]",[145068],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
1966,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=17778802&r1=17778802&r2=0&r3=0&r4=0&p0=7782447&p1=0&p2=0&p3=0&p4=0&expandResults=true&,25,OÂ· + OÂ·,O2,"['O·', 'O·']",['O2'],"[9109, 9109]",[8924],TRUE,TRUE,TRUE,TRUE,3,-5532.6,"[159832, 159832]",[977],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.]"
2038,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=16873179&r1=16873179&r2=0&r3=0&r4=0&p0=7782390&p1=0&p2=0&p3=0&p4=0&expandResults=true&,12,D + D,D2,"['D', 'D']",['D2'],"[7510, 7510]",[7511],TRUE,TRUE,TRUE,FALSE,3,,"[5460635, 5460635]",[783],"[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  0.  0.  0.  0.  0.]"
2179,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=15762079&r1=0&r2=0&r3=0&r4=0&p0=630080&p1=2229074&p2=0&p3=0&p4=0&expandResults=true&,2,CH3CO,CO + Â·CH3,['CH3CO'],"['CO', '·CH3']",[6264],"[6775, 11147]",TRUE,TRUE,TRUE,TRUE,1,65450,[137849],"[281, 3034819]","[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2200,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=15656196&r1=17778802&r2=0&r3=0&r4=0&p0=7782447&p1=10097322&p2=0&p3=0&p4=0&expandResults=true&,11,BrO + OÂ·,O2 + BrÂ·,"['BrO', 'O·']","['O2', 'Br·']","[3390, 9109]","[8924, 3399]",TRUE,TRUE,TRUE,TRUE,2,-1953.666667,"[5460627, 159832]","[977, 5360770]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
2202,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=15656196&r1=15656196&r2=0&r3=0&r4=0&p0=7782447&p1=10097322&p2=10097322&p3=0&p4=0&expandResults=true&,18,BrO + BrO,O2 + BrÂ· + BrÂ·,"['BrO', 'BrO']","['O2', 'Br·', 'Br·']","[3390, 3390]","[8924, 3399, 3399]",TRUE,TRUE,TRUE,TRUE,2,1575.62,"[5460627, 5460627]","[977, 5360770, 5360770]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2203,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=15656196&r1=15656196&r2=0&r3=0&r4=0&p0=7726956&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,18,BrO + BrO,Br2 + O2,"['BrO', 'BrO']","['Br2', 'O2']","[3390, 3390]","[3356, 8924]",TRUE,TRUE,TRUE,TRUE,2,-5730,"[5460627, 5460627]","[24408, 977]","[ 0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2273,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14989301&r1=22537151&r2=0&r3=0&r4=0&p0=7782505&p1=17778802&p2=0&p3=0&p4=0&expandResults=true&,2,ClO + Â·Cl,Cl2 + OÂ·,"['ClO', '·Cl']","['Cl2', 'O·']","[7007, 11174]","[6906, 9109]",TRUE,TRUE,TRUE,TRUE,2,38900,"[166686, 5360523]","[24526, 159832]","[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.]"
2275,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14989301&r1=17778880&r2=0&r3=0&r4=0&p0=10102439&p1=22537151&p2=0&p3=0&p4=0&expandResults=true&,1,ClO + N,NO + Â·Cl,"['ClO', 'N']","['NO', '·Cl']","[7007, 8651]","[8814, 11174]",TRUE,TRUE,TRUE,TRUE,2,,"[166686, 57370662]","[145068, 5360523]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.]"
2276,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14989301&r1=17778802&r2=0&r3=0&r4=0&p0=7782447&p1=22537151&p2=0&p3=0&p4=0&expandResults=true&,26,ClO + OÂ·,O2 + Â·Cl,"['ClO', 'O·']","['O2', '·Cl']","[7007, 9109]","[8924, 11174]",TRUE,TRUE,TRUE,TRUE,2,-473.2727273,"[166686, 159832]","[977, 5360523]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0. -1.]"
2289,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14989301&r1=14989301&r2=0&r3=0&r4=0&p0=7782447&p1=22537151&p2=22537151&p3=0&p4=0&expandResults=true&,2,ClO + ClO,O2 + Â·Cl + Â·Cl,"['ClO', 'ClO']","['O2', '·Cl', '·Cl']","[7007, 7007]","[8924, 11174, 11174]",TRUE,TRUE,TRUE,TRUE,2,,"[166686, 166686]","[977, 5360523, 5360523]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0. -2.]"
2290,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14989301&r1=14989301&r2=0&r3=0&r4=0&p0=7782447&p1=7782505&p2=0&p3=0&p4=0&expandResults=true&,23,ClO + ClO,O2 + Cl2,"['ClO', 'ClO']","['O2', 'Cl2']","[7007, 7007]","[8924, 6906]",TRUE,TRUE,TRUE,TRUE,2,12550.33333,"[166686, 166686]","[977, 24526]","[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.]"
2338,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14762948&r1=14762948&r2=0&r3=0&r4=0&p0=7782414&p1=0&p2=0&p3=0&p4=0&expandResults=true&,6,Â·F + Â·F,F2,"['·F', '·F']",['F2'],"[11175, 11175]",[7691],TRUE,TRUE,TRUE,FALSE,3,-38600,"[5360525, 5360525]",[24524],"[ 0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  2.  0.]"
2340,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=22537151&r2=0&r3=0&r4=0&p0=14362448&p1=14989301&p2=0&p3=0&p4=0&expandResults=true&,1,IO + Â·Cl,I + ClO,"['IO', '·Cl']","['I', 'ClO']","[8480, 11174]","[8459, 7007]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 5360523]","[5360629, 166686]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  1.]"
2341,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=17778802&r2=0&r3=0&r4=0&p0=7782447&p1=14362448&p2=0&p3=0&p4=0&expandResults=true&,10,IO + OÂ·,O2 + I,"['IO', 'O·']","['O2', 'I']","[8480, 9109]","[8924, 8459]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 159832]","[977, 5360629]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
2346,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=14989301&r2=0&r3=0&r4=0&p0=7782447&p1=14362448&p2=22537151&p3=0&p4=0&expandResults=true&,2,IO + ClO,O2 + I + Â·Cl,"['IO', 'ClO']","['O2', 'I', '·Cl']","[8480, 7007]","[8924, 8459, 11174]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 166686]","[977, 5360629, 5360523]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.]"
2351,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=14696981&r2=0&r3=0&r4=0&p0=7782447&p1=14362448&p2=14362448&p3=0&p4=0&expandResults=true&,3,IO + IO,O2 + I + I,"['IO', 'IO']","['O2', 'I', 'I']","[8480, 8480]","[8924, 8459, 8459]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 5460557]","[977, 5360629, 5360629]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2352,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=14696981&r2=0&r3=0&r4=0&p0=7782447&p1=14362448&p2=0&p3=0&p4=0&expandResults=true&,1,IO + IO,O2 + I,"['IO', 'IO']","['O2', 'I']","[8480, 8480]","[8924, 8459]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 5460557]","[977, 5360629]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2353,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14696981&r1=14696981&r2=0&r3=0&r4=0&p0=7553562&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,2,IO + IO,I2 + O2,"['IO', 'IO']","['I2', 'O2']","[8480, 8480]","[8461, 8924]",TRUE,TRUE,TRUE,FALSE,2,,"[5460557, 5460557]","[807, 977]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2404,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14362448&r1=15656196&r2=0&r3=0&r4=0&p0=10097322&p1=14696981&p2=0&p3=0&p4=0&expandResults=true&,5,I + BrO,BrÂ· + IO,"['I', 'BrO']","['Br·', 'IO']","[8459, 3390]","[3399, 8480]",TRUE,TRUE,TRUE,FALSE,2,,"[5360629, 5460627]","[5360770, 5460557]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2407,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14362448&r1=14362448&r2=0&r3=0&r4=0&p0=7553562&p1=0&p2=0&p3=0&p4=0&expandResults=true&,177,I + I,I2,"['I', 'I']",['I2'],"[8459, 8459]",[8461],TRUE,TRUE,TRUE,FALSE,3,-10048.72727,"[5360629, 5360629]",[807],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
2421,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14332286&r1=17778802&r2=0&r3=0&r4=0&p0=10102440&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,6,HNO + OÂ·,NO2 + HÂ·,"['HNO', 'O·']","['NO2', 'H·']","[8215, 9109]","[8818, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[945, 159832]","[3032552, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.]"
2422,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=14332286&r1=17778802&r2=0&r3=0&r4=0&p0=7782447&p1=13774920&p2=0&p3=0&p4=0&expandResults=true&,3,HNO + OÂ·,O2 + NH,"['HNO', 'O·']","['O2', 'NH']","[8215, 9109]","[8924, 8767]",TRUE,TRUE,TRUE,TRUE,2,,"[945, 159832]","[977, 5460607]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0. -1.  1.  0.  0.]"
